1.83824e-05 2.35233e-23  -2.35220e-23 0.00000e+00 
1.85185e-05 2.38703e-23  -2.38690e-23 0.00000e+00 
1.86547e-05 2.42199e-23  -2.42186e-23 0.00000e+00 
1.87909e-05 2.45719e-23  -2.45706e-23 0.00000e+00 
1.89270e-05 2.49262e-23  -2.49249e-23 0.00000e+00 
1.90632e-05 2.52830e-23  -2.52817e-23 0.00000e+00 
1.91994e-05 2.56425e-23  -2.56411e-23 0.00000e+00 
1.93355e-05 2.60047e-23  -2.60034e-23 0.00000e+00 
1.94717e-05 2.63697e-23  -2.63684e-23 0.00000e+00 
1.96079e-05 2.67375e-23  -2.67362e-23 0.00000e+00 
1.97440e-05 2.71079e-23  -2.71066e-23 0.00000e+00 
1.98802e-05 2.74804e-23  -2.74791e-23 0.00000e+00 
2.00163e-05 2.78552e-23  -2.78539e-23 0.00000e+00 
2.01525e-05 2.82324e-23  -2.82311e-23 0.00000e+00 
2.02887e-05 2.86123e-23  -2.86110e-23 0.00000e+00 
2.04248e-05 2.89950e-23  -2.89937e-23 0.00000e+00 
2.05610e-05 2.93803e-23  -2.93790e-23 0.00000e+00 
2.06972e-05 2.97684e-23  -2.97671e-23 0.00000e+00 
2.08333e-05 3.01590e-23  -3.01577e-23 0.00000e+00 
2.09695e-05 3.05518e-23  -3.05505e-23 0.00000e+00 
2.11057e-05 3.09469e-23  -3.09456e-23 0.00000e+00 
2.12418e-05 3.13445e-23  -3.13432e-23 0.00000e+00 
2.13780e-05 3.17447e-23  -3.17434e-23 0.00000e+00 
2.15142e-05 3.21475e-23  -3.21462e-23 0.00000e+00 
2.16503e-05 3.25531e-23  -3.25518e-23 0.00000e+00 
2.17865e-05 3.29615e-23  -3.29602e-23 0.00000e+00 
2.19227e-05 3.33726e-23  -3.33713e-23 0.00000e+00 
2.20588e-05 3.37861e-23  -3.37848e-23 0.00000e+00 
2.21950e-05 3.42018e-23  -3.42005e-23 0.00000e+00 
2.23312e-05 3.46200e-23  -3.46187e-23 0.00000e+00 
2.24673e-05 3.50408e-23  -3.50395e-23 0.00000e+00 
2.26035e-05 3.54643e-23  -3.54630e-23 0.00000e+00 
2.27397e-05 3.58904e-23  -3.58891e-23 0.00000e+00 
2.28758e-05 3.63192e-23  -3.63179e-23 0.00000e+00 
2.30120e-05 3.67506e-23  -3.67493e-23 0.00000e+00 
2.31482e-05 3.71847e-23  -3.71834e-23 0.00000e+00 
2.32843e-05 3.76213e-23  -3.76200e-23 0.00000e+00 
2.34205e-05 3.80601e-23  -3.80588e-23 0.00000e+00 
2.35567e-05 3.85012e-23  -3.84999e-23 0.00000e+00 
2.36928e-05 3.89448e-23  -3.89435e-23 0.00000e+00 
2.38290e-05 3.93911e-23  -3.93898e-23 0.00000e+00 
2.39652e-05 3.98401e-23  -3.98388e-23 0.00000e+00 
2.41013e-05 4.02917e-23  -4.02904e-23 0.00000e+00 
2.42375e-05 4.07459e-23  -4.07446e-23 0.00000e+00 
2.43736e-05 4.12027e-23  -4.12014e-23 0.00000e+00 
2.45098e-05 4.16620e-23  -4.16607e-23 0.00000e+00 
2.46460e-05 4.21238e-23  -4.21225e-23 0.00000e+00 
2.47821e-05 4.25882e-23  -4.25869e-23 0.00000e+00 
2.49183e-05 4.30550e-23  -4.30537e-23 0.00000e+00 
2.50545e-05 4.35245e-23  -4.35232e-23 0.00000e+00 
2.51906e-05 4.39962e-23  -4.39949e-23 0.00000e+00 
2.53268e-05 4.44704e-23  -4.44691e-23 0.00000e+00 
2.54630e-05 4.49470e-23  -4.49458e-23 0.00000e+00 
2.55991e-05 4.54262e-23  -4.54248e-23 0.00000e+00 
2.57353e-05 4.59078e-23  -4.59065e-23 0.00000e+00 
2.58715e-05 4.63921e-23  -4.63908e-23 0.00000e+00 
2.60076e-05 4.68789e-23  -4.68776e-23 0.00000e+00 
2.61438e-05 4.73683e-23  -4.73670e-23 0.00000e+00 
2.62800e-05 4.78602e-23  -4.78589e-23 0.00000e+00 
2.64161e-05 4.83546e-23  -4.83533e-23 0.00000e+00 
2.65523e-05 4.88516e-23  -4.88503e-23 0.00000e+00 
2.66885e-05 4.93510e-23  -4.93496e-23 0.00000e+00 
2.68246e-05 4.98528e-23  -4.98515e-23 0.00000e+00 
2.69608e-05 5.03575e-23  -5.03562e-23 0.00000e+00 
2.70970e-05 5.08649e-23  -5.08636e-23 0.00000e+00 
2.72331e-05 5.13750e-23  -5.13737e-23 0.00000e+00 
2.73693e-05 5.18879e-23  -5.18866e-23 0.00000e+00 
2.75055e-05 5.24035e-23  -5.24022e-23 0.00000e+00 
2.76416e-05 5.29215e-23  -5.29202e-23 0.00000e+00 
2.77778e-05 5.34420e-23  -5.34407e-23 0.00000e+00 
2.79140e-05 5.39647e-23  -5.39634e-23 0.00000e+00 
2.80501e-05 5.44895e-23  -5.44882e-23 0.00000e+00 
2.81863e-05 5.50167e-23  -5.50153e-23 0.00000e+00 
2.83225e-05 5.55464e-23  -5.55451e-23 0.00000e+00 
2.84586e-05 5.60789e-23  -5.60776e-23 0.00000e+00 
2.85948e-05 5.66140e-23  -5.66127e-23 0.00000e+00 
2.87309e-05 5.71516e-23  -5.71503e-23 0.00000e+00 
2.88671e-05 5.76920e-23  -5.76907e-23 0.00000e+00 
2.90033e-05 5.82349e-23  -5.82336e-23 0.00000e+00 
2.91394e-05 5.87804e-23  -5.87791e-23 0.00000e+00 
2.92756e-05 5.93286e-23  -5.93273e-23 0.00000e+00 
2.94118e-05 5.98793e-23  -5.98780e-23 0.00000e+00 
2.95479e-05 6.04326e-23  -6.04313e-23 0.00000e+00 
2.96841e-05 6.09884e-23  -6.09871e-23 0.00000e+00 
2.98203e-05 6.15465e-23  -6.15452e-23 0.00000e+00 
2.99564e-05 6.21071e-23  -6.21058e-23 0.00000e+00 
3.00926e-05 6.26701e-23  -6.26688e-23 0.00000e+00 
3.02288e-05 6.32358e-23  -6.32345e-23 0.00000e+00 
3.03649e-05 6.38042e-23  -6.38029e-23 0.00000e+00 
3.05011e-05 6.43753e-23  -6.43740e-23 0.00000e+00 
3.06373e-05 6.49492e-23  -6.49479e-23 0.00000e+00 
3.07734e-05 6.55257e-23  -6.55244e-23 0.00000e+00 
3.09096e-05 6.61050e-23  -6.61036e-23 0.00000e+00 
3.10458e-05 6.66867e-23  -6.66854e-23 0.00000e+00 
3.11819e-05 6.72707e-23  -6.72693e-23 0.00000e+00 
3.13181e-05 6.78571e-23  -6.78558e-23 0.00000e+00 
3.14543e-05 6.84462e-23  -6.84449e-23 0.00000e+00 
3.15904e-05 6.90377e-23  -6.90364e-23 0.00000e+00 
3.17266e-05 6.96316e-23  -6.96303e-23 0.00000e+00 
3.18628e-05 7.02281e-23  -7.02268e-23 0.00000e+00 
3.19989e-05 7.08271e-23  -7.08258e-23 0.00000e+00 
