3.74992e-03 7.96468e+09  -7.96427e+09 0.00000e+00 
3.77703e-03 8.19628e+09  -8.19586e+09 0.00000e+00 
3.80414e-03 8.43295e+09  -8.43252e+09 0.00000e+00 
3.83125e-03 8.67473e+09  -8.67430e+09 0.00000e+00 
3.85836e-03 8.92168e+09  -8.92124e+09 0.00000e+00 
3.88547e-03 9.17384e+09  -9.17339e+09 0.00000e+00 
3.91258e-03 9.43126e+09  -9.43081e+09 0.00000e+00 
3.93969e-03 9.69398e+09  -9.69352e+09 0.00000e+00 
3.96679e-03 9.96206e+09  -9.96159e+09 0.00000e+00 
3.99390e-03 1.02355e+10  -1.02351e+10 0.00000e+00 
4.02100e-03 1.05145e+10  -1.05140e+10 0.00000e+00 
4.04811e-03 1.07990e+10  -1.07985e+10 0.00000e+00 
4.07521e-03 1.10891e+10  -1.10886e+10 0.00000e+00 
4.10231e-03 1.13849e+10  -1.13844e+10 0.00000e+00 
4.12941e-03 1.16864e+10  -1.16859e+10 0.00000e+00 
4.15651e-03 1.19939e+10  -1.19934e+10 0.00000e+00 
4.18361e-03 1.23073e+10  -1.23068e+10 0.00000e+00 
4.21071e-03 1.26269e+10  -1.26263e+10 0.00000e+00 
4.23781e-03 1.29526e+10  -1.29520e+10 0.00000e+00 
4.26490e-03 1.32846e+10  -1.32840e+10 0.00000e+00 
4.29200e-03 1.36229e+10  -1.36224e+10 0.00000e+00 
4.31909e-03 1.39678e+10  -1.39672e+10 0.00000e+00 
4.34619e-03 1.43192e+10  -1.43187e+10 0.00000e+00 
4.37328e-03 1.46773e+10  -1.46767e+10 0.00000e+00 
4.40037e-03 1.50421e+10  -1.50415e+10 0.00000e+00 
4.42746e-03 1.54136e+10  -1.54131e+10 0.00000e+00 
4.45455e-03 1.57921e+10  -1.57915e+10 0.00000e+00 
4.48164e-03 1.61774e+10  -1.61768e+10 0.00000e+00 
4.50873e-03 1.65697e+10  -1.65691e+10 0.00000e+00 
4.53582e-03 1.69691e+10  -1.69685e+10 0.00000e+00 
4.56291e-03 1.73755e+10  -1.73749e+10 0.00000e+00 
4.59000e-03 1.77891e+10  -1.77884e+10 0.00000e+00 
4.61708e-03 1.82098e+10  -1.82092e+10 0.00000e+00 
4.64417e-03 1.86379e+10  -1.86372e+10 0.00000e+00 
4.67125e-03 1.90733e+10  -1.90727e+10 0.00000e+00 
4.69833e-03 1.95161e+10  -1.95155e+10 0.00000e+00 
4.72541e-03 1.99666e+10  -1.99659e+10 0.00000e+00 
4.75249e-03 2.04246e+10  -2.04240e+10 0.00000e+00 
4.77957e-03 2.08904e+10  -2.08898e+10 0.00000e+00 
4.80665e-03 2.13641e+10  -2.13634e+10 0.00000e+00 
4.83373e-03 2.18457e+10  -2.18451e+10 0.00000e+00 
4.86081e-03 2.23355e+10  -2.23348e+10 0.00000e+00 
4.88788e-03 2.28334e+10  -2.28327e+10 0.00000e+00 
4.91496e-03 2.33397e+10  -2.33390e+10 0.00000e+00 
4.94204e-03 2.38543e+10  -2.38536e+10 0.00000e+00 
4.96911e-03 2.43774e+10  -2.43767e+10 0.00000e+00 
4.99618e-03 2.49092e+10  -2.49085e+10 0.00000e+00 
5.02325e-03 2.54496e+10  -2.54489e+10 0.00000e+00 
5.05033e-03 2.59988e+10  -2.59980e+10 0.00000e+00 
5.07740e-03 2.65568e+10  -2.65560e+10 0.00000e+00 
5.10447e-03 2.71236e+10  -2.71229e+10 0.00000e+00 
5.13154e-03 2.76995e+10  -2.76987e+10 0.00000e+00 
5.15860e-03 2.82844e+10  -2.82836e+10 0.00000e+00 
5.18567e-03 2.88783e+10  -2.88776e+10 0.00000e+00 
5.21274e-03 2.94815e+10  -2.94807e+10 0.00000e+00 
5.23980e-03 3.00939e+10  -3.00931e+10 0.00000e+00 
5.26687e-03 3.07156e+10  -3.07148e+10 0.00000e+00 
5.29393e-03 3.13468e+10  -3.13460e+10 0.00000e+00 
5.32099e-03 3.19875e+10  -3.19867e+10 0.00000e+00 
5.34806e-03 3.26378e+10  -3.26370e+10 0.00000e+00 
5.37512e-03 3.32979e+10  -3.32971e+10 0.00000e+00 
5.40218e-03 3.39679e+10  -3.39670e+10 0.00000e+00 
5.42924e-03 3.46478e+10  -3.46469e+10 0.00000e+00 
5.45629e-03 3.53378e+10  -3.53370e+10 0.00000e+00 
5.48335e-03 3.60381e+10  -3.60372e+10 0.00000e+00 
5.51041e-03 3.67487e+10  -3.67478e+10 0.00000e+00 
5.53746e-03 3.74698e+10  -3.74689e+10 0.00000e+00 
5.56452e-03 3.82014e+10  -3.82005e+10 0.00000e+00 
5.59157e-03 3.89437e+10  -3.89428e+10 0.00000e+00 
5.61863e-03 3.96968e+10  -3.96959e+10 0.00000e+00 
5.64568e-03 4.04607e+10  -4.04598e+10 0.00000e+00 
5.67273e-03 4.12356e+10  -4.12346e+10 0.00000e+00 
5.69978e-03 4.20215e+10  -4.20205e+10 0.00000e+00 
5.72683e-03 4.28185e+10  -4.28175e+10 0.00000e+00 
5.75388e-03 4.36267e+10  -4.36257e+10 0.00000e+00 
5.78093e-03 4.44461e+10  -4.44452e+10 0.00000e+00 
5.80798e-03 4.52770e+10  -4.52760e+10 0.00000e+00 
5.83502e-03 4.61192e+10  -4.61183e+10 0.00000e+00 
5.86207e-03 4.69730e+10  -4.69720e+10 0.00000e+00 
5.88911e-03 4.78384e+10  -4.78374e+10 0.00000e+00 
5.91616e-03 4.87156e+10  -4.87146e+10 0.00000e+00 
5.94320e-03 4.96046e+10  -4.96036e+10 0.00000e+00 
5.97024e-03 5.05056e+10  -5.05045e+10 0.00000e+00 
5.99728e-03 5.14186e+10  -5.14176e+10 0.00000e+00 
6.02432e-03 5.23438e+10  -5.23428e+10 0.00000e+00 
6.05136e-03 5.32814e+10  -5.32804e+10 0.00000e+00 
6.07840e-03 5.42315e+10  -5.42304e+10 0.00000e+00 
6.10544e-03 5.51941e+10  -5.51930e+10 0.00000e+00 
6.13248e-03 5.61695e+10  -5.61684e+10 0.00000e+00 
6.15951e-03 5.71577e+10  -5.71566e+10 0.00000e+00 
6.18655e-03 5.81588e+10  -5.81577e+10 0.00000e+00 
6.21358e-03 5.91730e+10  -5.91719e+10 0.00000e+00 
6.24061e-03 6.02004e+10  -6.01993e+10 0.00000e+00 
6.26765e-03 6.12411e+10  -6.12399e+10 0.00000e+00 
6.29468e-03 6.22951e+10  -6.22939e+10 0.00000e+00 
6.32171e-03 6.33626e+10  -6.33614e+10 0.00000e+00 
6.34874e-03 6.44436e+10  -6.44424e+10 0.00000e+00 
6.37577e-03 6.55383e+10  -6.55371e+10 0.00000e+00 
6.40280e-03 6.66467e+10  -6.66455e+10 0.00000e+00 
6.42983e-03 6.77690e+10  -6.77678e+10 0.00000e+00 
