3.39052e-02 2.50609e+11  -2.50605e+11 0.00000e+00 
3.40414e-02 2.54660e+11  -2.54655e+11 0.00000e+00 
3.41776e-02 2.58759e+11  -2.58755e+11 0.00000e+00 
3.43137e-02 2.62907e+11  -2.62903e+11 0.00000e+00 
3.44499e-02 2.67105e+11  -2.67101e+11 0.00000e+00 
3.45861e-02 2.71353e+11  -2.71349e+11 0.00000e+00 
3.47222e-02 2.75652e+11  -2.75648e+11 0.00000e+00 
3.48584e-02 2.80001e+11  -2.79997e+11 0.00000e+00 
3.49946e-02 2.84402e+11  -2.84398e+11 0.00000e+00 
3.51307e-02 2.88855e+11  -2.88850e+11 0.00000e+00 
3.52669e-02 2.93359e+11  -2.93355e+11 0.00000e+00 
3.54031e-02 2.97916e+11  -2.97912e+11 0.00000e+00 
3.55392e-02 3.02526e+11  -3.02521e+11 0.00000e+00 
3.56754e-02 3.07189e+11  -3.07185e+11 0.00000e+00 
3.58116e-02 3.11906e+11  -3.11901e+11 0.00000e+00 
3.59477e-02 3.16677e+11  -3.16672e+11 0.00000e+00 
3.60839e-02 3.21502e+11  -3.21498e+11 0.00000e+00 
3.62201e-02 3.26383e+11  -3.26378e+11 0.00000e+00 
3.63562e-02 3.31319e+11  -3.31314e+11 0.00000e+00 
3.64924e-02 3.36310e+11  -3.36306e+11 0.00000e+00 
3.66286e-02 3.41358e+11  -3.41353e+11 0.00000e+00 
3.67647e-02 3.46462e+11  -3.46458e+11 0.00000e+00 
3.69009e-02 3.51624e+11  -3.51619e+11 0.00000e+00 
3.70371e-02 3.56843e+11  -3.56838e+11 0.00000e+00 
3.71732e-02 3.62119e+11  -3.62114e+11 0.00000e+00 
3.73094e-02 3.67454e+11  -3.67449e+11 0.00000e+00 
3.74455e-02 3.72848e+11  -3.72843e+11 0.00000e+00 
3.75817e-02 3.78301e+11  -3.78296e+11 0.00000e+00 
3.77179e-02 3.83814e+11  -3.83809e+11 0.00000e+00 
3.78540e-02 3.89386e+11  -3.89381e+11 0.00000e+00 
3.79902e-02 3.95019e+11  -3.95014e+11 0.00000e+00 
3.81264e-02 4.00713e+11  -4.00708e+11 0.00000e+00 
3.82625e-02 4.06468e+11  -4.06463e+11 0.00000e+00 
3.83987e-02 4.12285e+11  -4.12280e+11 0.00000e+00 
3.85349e-02 4.18165e+11  -4.18160e+11 0.00000e+00 
3.86710e-02 4.24107e+11  -4.24101e+11 0.00000e+00 
3.88072e-02 4.30112e+11  -4.30106e+11 0.00000e+00 
3.89434e-02 4.36180e+11  -4.36175e+11 0.00000e+00 
3.90795e-02 4.42313e+11  -4.42307e+11 0.00000e+00 
3.92157e-02 4.48510e+11  -4.48504e+11 0.00000e+00 
3.93519e-02 4.54772e+11  -4.54766e+11 0.00000e+00 
3.94880e-02 4.61099e+11  -4.61093e+11 0.00000e+00 
3.96242e-02 4.67492e+11  -4.67486e+11 0.00000e+00 
3.97604e-02 4.73951e+11  -4.73946e+11 0.00000e+00 
3.98965e-02 4.80477e+11  -4.80472e+11 0.00000e+00 
4.00327e-02 4.87070e+11  -4.87065e+11 0.00000e+00 
4.01689e-02 4.93731e+11  -4.93725e+11 0.00000e+00 
4.03050e-02 5.00460e+11  -5.00454e+11 0.00000e+00 
4.04412e-02 5.07257e+11  -5.07251e+11 0.00000e+00 
4.05774e-02 5.14124e+11  -5.14118e+11 0.00000e+00 
4.07135e-02 5.21059e+11  -5.21054e+11 0.00000e+00 
4.08497e-02 5.28065e+11  -5.28059e+11 0.00000e+00 
4.09859e-02 5.35142e+11  -5.35136e+11 0.00000e+00 
4.11220e-02 5.42289e+11  -5.42283e+11 0.00000e+00 
4.12582e-02 5.49507e+11  -5.49501e+11 0.00000e+00 
4.13944e-02 5.56797e+11  -5.56791e+11 0.00000e+00 
4.15305e-02 5.64160e+11  -5.64154e+11 0.00000e+00 
4.16667e-02 5.71595e+11  -5.71589e+11 0.00000e+00 
4.18028e-02 5.79104e+11  -5.79098e+11 0.00000e+00 
4.19390e-02 5.86686e+11  -5.86680e+11 0.00000e+00 
