2.72331e-05 1.04307e-01  -2.80830e-21 0.00000e+00 
4.46624e-03 7.54555e+07  -7.54527e+07 0.00000e+00 
4.49347e-03 7.73128e+07  -7.73099e+07 0.00000e+00 
4.52070e-03 7.92041e+07  -7.92013e+07 0.00000e+00 
4.54794e-03 8.11300e+07  -8.11271e+07 0.00000e+00 
4.57517e-03 8.30907e+07  -8.30878e+07 0.00000e+00 
4.60240e-03 8.50868e+07  -8.50839e+07 0.00000e+00 
4.62964e-03 8.71187e+07  -8.71157e+07 0.00000e+00 
4.65687e-03 8.91867e+07  -8.91836e+07 0.00000e+00 
4.68410e-03 9.12913e+07  -9.12882e+07 0.00000e+00 
4.71134e-03 9.34329e+07  -9.34298e+07 0.00000e+00 
4.73857e-03 9.56121e+07  -9.56089e+07 0.00000e+00 
4.76580e-03 9.78291e+07  -9.78259e+07 0.00000e+00 
4.79303e-03 1.00084e+08  -1.00081e+08 0.00000e+00 
4.82027e-03 1.02379e+08  -1.02375e+08 0.00000e+00 
4.84750e-03 1.04712e+08  -1.04709e+08 0.00000e+00 
4.87473e-03 1.07085e+08  -1.07081e+08 0.00000e+00 
4.90197e-03 1.09498e+08  -1.09495e+08 0.00000e+00 
4.92920e-03 1.11952e+08  -1.11948e+08 0.00000e+00 
4.95643e-03 1.14446e+08  -1.14443e+08 0.00000e+00 
4.98367e-03 1.16982e+08  -1.16979e+08 0.00000e+00 
5.01090e-03 1.19560e+08  -1.19557e+08 0.00000e+00 
5.03813e-03 1.22181e+08  -1.22177e+08 0.00000e+00 
5.06537e-03 1.24844e+08  -1.24840e+08 0.00000e+00 
5.09260e-03 1.27551e+08  -1.27547e+08 0.00000e+00 
5.11983e-03 1.30301e+08  -1.30297e+08 0.00000e+00 
5.14707e-03 1.33095e+08  -1.33092e+08 0.00000e+00 
5.17430e-03 1.35935e+08  -1.35931e+08 0.00000e+00 
5.20153e-03 1.38819e+08  -1.38815e+08 0.00000e+00 
5.22877e-03 1.41749e+08  -1.41745e+08 0.00000e+00 
5.25600e-03 1.44726e+08  -1.44722e+08 0.00000e+00 
5.28323e-03 1.47748e+08  -1.47745e+08 0.00000e+00 
5.31047e-03 1.50818e+08  -1.50815e+08 0.00000e+00 
5.33770e-03 1.53936e+08  -1.53932e+08 0.00000e+00 
5.36493e-03 1.57102e+08  -1.57098e+08 0.00000e+00 
5.39217e-03 1.60316e+08  -1.60312e+08 0.00000e+00 
5.41940e-03 1.63579e+08  -1.63575e+08 0.00000e+00 
5.44663e-03 1.66892e+08  -1.66888e+08 0.00000e+00 
5.47386e-03 1.70255e+08  -1.70251e+08 0.00000e+00 
5.50110e-03 1.73669e+08  -1.73665e+08 0.00000e+00 
5.52833e-03 1.77133e+08  -1.77129e+08 0.00000e+00 
5.55556e-03 1.80650e+08  -1.80645e+08 0.00000e+00 
5.58280e-03 1.84218e+08  -1.84213e+08 0.00000e+00 
5.61003e-03 1.87839e+08  -1.87834e+08 0.00000e+00 
5.63726e-03 1.91513e+08  -1.91508e+08 0.00000e+00 
5.66450e-03 1.95240e+08  -1.95236e+08 0.00000e+00 
5.69173e-03 1.99022e+08  -1.99018e+08 0.00000e+00 
5.71896e-03 2.02859e+08  -2.02854e+08 0.00000e+00 
5.74620e-03 2.06750e+08  -2.06746e+08 0.00000e+00 
5.77343e-03 2.10698e+08  -2.10693e+08 0.00000e+00 
5.80066e-03 2.14701e+08  -2.14697e+08 0.00000e+00 
5.82790e-03 2.18762e+08  -2.18757e+08 0.00000e+00 
5.85513e-03 2.22880e+08  -2.22875e+08 0.00000e+00 
5.88236e-03 2.27055e+08  -2.27050e+08 0.00000e+00 
5.90960e-03 2.31289e+08  -2.31284e+08 0.00000e+00 
5.93683e-03 2.35582e+08  -2.35577e+08 0.00000e+00 
5.96406e-03 2.39935e+08  -2.39930e+08 0.00000e+00 
5.99130e-03 2.44347e+08  -2.44342e+08 0.00000e+00 
6.01853e-03 2.48820e+08  -2.48815e+08 0.00000e+00 
6.04576e-03 2.53355e+08  -2.53349e+08 0.00000e+00 
6.07300e-03 2.57950e+08  -2.57945e+08 0.00000e+00 
6.10023e-03 2.62609e+08  -2.62603e+08 0.00000e+00 
6.12746e-03 2.67329e+08  -2.67324e+08 0.00000e+00 
6.15470e-03 2.72114e+08  -2.72108e+08 0.00000e+00 
6.18193e-03 2.76962e+08  -2.76957e+08 0.00000e+00 
6.20916e-03 2.81875e+08  -2.81869e+08 0.00000e+00 
6.23640e-03 2.86853e+08  -2.86847e+08 0.00000e+00 
6.26363e-03 2.91896e+08  -2.91891e+08 0.00000e+00 
6.29086e-03 2.97006e+08  -2.97000e+08 0.00000e+00 
6.31810e-03 3.02182e+08  -3.02177e+08 0.00000e+00 
6.34533e-03 3.07426e+08  -3.07420e+08 0.00000e+00 
6.37256e-03 3.12738e+08  -3.12732e+08 0.00000e+00 
6.39980e-03 3.18118e+08  -3.18112e+08 0.00000e+00 
6.42703e-03 3.23568e+08  -3.23562e+08 0.00000e+00 
6.45426e-03 3.29087e+08  -3.29081e+08 0.00000e+00 
6.48150e-03 3.34676e+08  -3.34670e+08 0.00000e+00 
6.50873e-03 3.40337e+08  -3.40331e+08 0.00000e+00 
6.53596e-03 3.46069e+08  -3.46063e+08 0.00000e+00 
6.56319e-03 3.51873e+08  -3.51867e+08 0.00000e+00 
6.59043e-03 3.57749e+08  -3.57743e+08 0.00000e+00 
