7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
1.01902e-03 1.23256e+09  -1.23240e+09 0.00000e+00 
1.02692e-03 1.29078e+09  -1.29061e+09 0.00000e+00 
1.03482e-03 1.35127e+09  -1.35109e+09 0.00000e+00 
1.04272e-03 1.41410e+09  -1.41392e+09 0.00000e+00 
1.05062e-03 1.47934e+09  -1.47916e+09 0.00000e+00 
1.05852e-03 1.54708e+09  -1.54689e+09 0.00000e+00 
1.06641e-03 1.61738e+09  -1.61718e+09 0.00000e+00 
1.07431e-03 1.69032e+09  -1.69012e+09 0.00000e+00 
1.08221e-03 1.76599e+09  -1.76578e+09 0.00000e+00 
1.09011e-03 1.84446e+09  -1.84424e+09 0.00000e+00 
1.09801e-03 1.92580e+09  -1.92558e+09 0.00000e+00 
1.10591e-03 2.01012e+09  -2.00989e+09 0.00000e+00 
1.11381e-03 2.09749e+09  -2.09726e+09 0.00000e+00 
1.12171e-03 2.18801e+09  -2.18777e+09 0.00000e+00 
1.12961e-03 2.28175e+09  -2.28150e+09 0.00000e+00 
1.13751e-03 2.37882e+09  -2.37857e+09 0.00000e+00 
1.14541e-03 2.47931e+09  -2.47904e+09 0.00000e+00 
1.15331e-03 2.58331e+09  -2.58304e+09 0.00000e+00 
1.16121e-03 2.69091e+09  -2.69064e+09 0.00000e+00 
1.16911e-03 2.80223e+09  -2.80195e+09 0.00000e+00 
1.17701e-03 2.91736e+09  -2.91707e+09 0.00000e+00 
1.18491e-03 3.03640e+09  -3.03610e+09 0.00000e+00 
1.19280e-03 3.15947e+09  -3.15916e+09 0.00000e+00 
1.20070e-03 3.28666e+09  -3.28634e+09 0.00000e+00 
1.20860e-03 3.41809e+09  -3.41776e+09 0.00000e+00 
1.21650e-03 3.55387e+09  -3.55354e+09 0.00000e+00 
1.22440e-03 3.69412e+09  -3.69377e+09 0.00000e+00 
1.23230e-03 3.83894e+09  -3.83859e+09 0.00000e+00 
1.24020e-03 3.98847e+09  -3.98811e+09 0.00000e+00 
1.24810e-03 4.14282e+09  -4.14245e+09 0.00000e+00 
1.25600e-03 4.30212e+09  -4.30174e+09 0.00000e+00 
1.26390e-03 4.46649e+09  -4.46610e+09 0.00000e+00 
1.27180e-03 4.63606e+09  -4.63566e+09 0.00000e+00 
1.27970e-03 4.81095e+09  -4.81055e+09 0.00000e+00 
1.28760e-03 4.99132e+09  -4.99090e+09 0.00000e+00 
1.29550e-03 5.17728e+09  -5.17685e+09 0.00000e+00 
1.30340e-03 5.36898e+09  -5.36854e+09 0.00000e+00 
1.31129e-03 5.56656e+09  -5.56611e+09 0.00000e+00 
1.31919e-03 5.77016e+09  -5.76969e+09 0.00000e+00 
1.32709e-03 5.97993e+09  -5.97945e+09 0.00000e+00 
1.33499e-03 6.19601e+09  -6.19552e+09 0.00000e+00 
