8.78420e-03 5.23927e+13  -5.23912e+13 0.00000e+00 
8.81580e-03 5.35311e+13  -5.35295e+13 0.00000e+00 
8.84740e-03 5.46900e+13  -5.46884e+13 0.00000e+00 
8.87900e-03 5.58697e+13  -5.58681e+13 0.00000e+00 
8.91059e-03 5.70706e+13  -5.70690e+13 0.00000e+00 
8.94219e-03 5.82929e+13  -5.82913e+13 0.00000e+00 
8.97379e-03 5.95369e+13  -5.95353e+13 0.00000e+00 
9.00539e-03 6.08030e+13  -6.08013e+13 0.00000e+00 
9.03698e-03 6.20915e+13  -6.20898e+13 0.00000e+00 
9.06858e-03 6.34025e+13  -6.34008e+13 0.00000e+00 
9.10018e-03 6.47366e+13  -6.47349e+13 0.00000e+00 
9.13178e-03 6.60940e+13  -6.60922e+13 0.00000e+00 
9.16338e-03 6.74750e+13  -6.74732e+13 0.00000e+00 
9.19497e-03 6.88800e+13  -6.88782e+13 0.00000e+00 
9.22657e-03 7.03093e+13  -7.03074e+13 0.00000e+00 
9.25817e-03 7.17632e+13  -7.17613e+13 0.00000e+00 
9.28977e-03 7.32420e+13  -7.32401e+13 0.00000e+00 
9.32136e-03 7.47462e+13  -7.47443e+13 0.00000e+00 
9.35296e-03 7.62760e+13  -7.62740e+13 0.00000e+00 
9.38456e-03 7.78318e+13  -7.78298e+13 0.00000e+00 
9.41616e-03 7.94140e+13  -7.94120e+13 0.00000e+00 
9.44776e-03 8.10228e+13  -8.10208e+13 0.00000e+00 
9.47935e-03 8.26588e+13  -8.26567e+13 0.00000e+00 
9.51095e-03 8.43221e+13  -8.43200e+13 0.00000e+00 
9.54255e-03 8.60133e+13  -8.60111e+13 0.00000e+00 
9.57415e-03 8.77326e+13  -8.77304e+13 0.00000e+00 
9.60575e-03 8.94804e+13  -8.94783e+13 0.00000e+00 
9.63734e-03 9.12572e+13  -9.12550e+13 0.00000e+00 
9.66894e-03 9.30633e+13  -9.30610e+13 0.00000e+00 
9.70054e-03 9.48990e+13  -9.48968e+13 0.00000e+00 
9.73214e-03 9.67648e+13  -9.67625e+13 0.00000e+00 
9.76373e-03 9.86611e+13  -9.86588e+13 0.00000e+00 
9.79533e-03 1.00588e+14  -1.00586e+14 0.00000e+00 
9.82693e-03 1.02547e+14  -1.02544e+14 0.00000e+00 
9.85853e-03 1.04537e+14  -1.04534e+14 0.00000e+00 
9.89013e-03 1.06559e+14  -1.06556e+14 0.00000e+00 
9.92172e-03 1.08613e+14  -1.08611e+14 0.00000e+00 
9.95332e-03 1.10701e+14  -1.10699e+14 0.00000e+00 
9.98492e-03 1.12822e+14  -1.12819e+14 0.00000e+00 
1.00165e-02 1.14976e+14  -1.14974e+14 0.00000e+00 
1.00481e-02 1.17165e+14  -1.17163e+14 0.00000e+00 
1.00797e-02 1.19389e+14  -1.19386e+14 0.00000e+00 
1.01113e-02 1.21647e+14  -1.21644e+14 0.00000e+00 
1.01429e-02 1.23941e+14  -1.23938e+14 0.00000e+00 
1.01745e-02 1.26271e+14  -1.26268e+14 0.00000e+00 
1.02061e-02 1.28637e+14  -1.28634e+14 0.00000e+00 
1.02377e-02 1.31040e+14  -1.31037e+14 0.00000e+00 
1.02693e-02 1.33480e+14  -1.33477e+14 0.00000e+00 
1.03009e-02 1.35958e+14  -1.35955e+14 0.00000e+00 
1.03325e-02 1.38475e+14  -1.38472e+14 0.00000e+00 
1.03641e-02 1.41030e+14  -1.41027e+14 0.00000e+00 
1.03957e-02 1.43624e+14  -1.43621e+14 0.00000e+00 
1.04273e-02 1.46257e+14  -1.46254e+14 0.00000e+00 
1.04589e-02 1.48931e+14  -1.48928e+14 0.00000e+00 
1.04905e-02 1.51646e+14  -1.51643e+14 0.00000e+00 
1.05221e-02 1.54401e+14  -1.54398e+14 0.00000e+00 
1.05537e-02 1.57198e+14  -1.57195e+14 0.00000e+00 
1.05853e-02 1.60038e+14  -1.60034e+14 0.00000e+00 
1.06169e-02 1.62919e+14  -1.62916e+14 0.00000e+00 
1.06485e-02 1.65844e+14  -1.65841e+14 0.00000e+00 
1.06801e-02 1.68813e+14  -1.68810e+14 0.00000e+00 
1.07117e-02 1.71826e+14  -1.71822e+14 0.00000e+00 
1.07433e-02 1.74883e+14  -1.74879e+14 0.00000e+00 
1.07749e-02 1.77985e+14  -1.77982e+14 0.00000e+00 
1.08065e-02 1.81134e+14  -1.81130e+14 0.00000e+00 
1.08381e-02 1.84328e+14  -1.84325e+14 0.00000e+00 
1.08697e-02 1.87569e+14  -1.87566e+14 0.00000e+00 
1.09013e-02 1.90858e+14  -1.90855e+14 0.00000e+00 
1.09329e-02 1.94195e+14  -1.94191e+14 0.00000e+00 
1.09645e-02 1.97580e+14  -1.97576e+14 0.00000e+00 
1.09961e-02 2.01014e+14  -2.01010e+14 0.00000e+00 
1.10276e-02 2.04497e+14  -2.04494e+14 0.00000e+00 
1.10592e-02 2.08031e+14  -2.08027e+14 0.00000e+00 
1.10908e-02 2.11616e+14  -2.11612e+14 0.00000e+00 
1.11224e-02 2.15251e+14  -2.15248e+14 0.00000e+00 
1.11540e-02 2.18939e+14  -2.18935e+14 0.00000e+00 
1.11856e-02 2.22679e+14  -2.22675e+14 0.00000e+00 
1.12172e-02 2.26473e+14  -2.26469e+14 0.00000e+00 
1.12488e-02 2.30320e+14  -2.30315e+14 0.00000e+00 
1.12804e-02 2.34221e+14  -2.34217e+14 0.00000e+00 
1.13120e-02 2.38177e+14  -2.38173e+14 0.00000e+00 
1.13436e-02 2.42189e+14  -2.42184e+14 0.00000e+00 
1.13752e-02 2.46256e+14  -2.46252e+14 0.00000e+00 
1.14068e-02 2.50381e+14  -2.50377e+14 0.00000e+00 
1.14384e-02 2.54563e+14  -2.54558e+14 0.00000e+00 
1.14700e-02 2.58803e+14  -2.58798e+14 0.00000e+00 
1.15016e-02 2.63101e+14  -2.63097e+14 0.00000e+00 
1.15332e-02 2.67459e+14  -2.67455e+14 0.00000e+00 
1.15648e-02 2.71877e+14  -2.71873e+14 0.00000e+00 
1.15964e-02 2.76356e+14  -2.76351e+14 0.00000e+00 
1.16280e-02 2.80896e+14  -2.80891e+14 0.00000e+00 
1.16596e-02 2.85498e+14  -2.85493e+14 0.00000e+00 
1.16912e-02 2.90162e+14  -2.90157e+14 0.00000e+00 
1.17228e-02 2.94890e+14  -2.94885e+14 0.00000e+00 
1.17544e-02 2.99682e+14  -2.99677e+14 0.00000e+00 
1.17860e-02 3.04538e+14  -3.04533e+14 0.00000e+00 
1.18176e-02 3.09460e+14  -3.09455e+14 0.00000e+00 
1.18492e-02 3.14448e+14  -3.14443e+14 0.00000e+00 
1.18808e-02 3.19503e+14  -3.19498e+14 0.00000e+00 
1.19124e-02 3.24625e+14  -3.24620e+14 0.00000e+00 
1.19440e-02 3.29816e+14  -3.29810e+14 0.00000e+00 
1.19756e-02 3.35075e+14  -3.35070e+14 0.00000e+00 
1.20072e-02 3.40404e+14  -3.40399e+14 0.00000e+00 
1.20388e-02 3.45804e+14  -3.45799e+14 0.00000e+00 
1.20704e-02 3.51275e+14  -3.51269e+14 0.00000e+00 
1.21020e-02 3.56817e+14  -3.56812e+14 0.00000e+00 
1.21336e-02 3.62433e+14  -3.62427e+14 0.00000e+00 
1.21652e-02 3.68121e+14  -3.68116e+14 0.00000e+00 
1.21968e-02 3.73884e+14  -3.73879e+14 0.00000e+00 
1.22284e-02 3.79722e+14  -3.79717e+14 0.00000e+00 
1.22600e-02 3.85636e+14  -3.85630e+14 0.00000e+00 
1.22916e-02 3.91626e+14  -3.91621e+14 0.00000e+00 
1.23232e-02 3.97694e+14  -3.97688e+14 0.00000e+00 
1.23548e-02 4.03840e+14  -4.03834e+14 0.00000e+00 
1.23864e-02 4.10064e+14  -4.10058e+14 0.00000e+00 
1.24180e-02 4.16368e+14  -4.16362e+14 0.00000e+00 
1.24496e-02 4.22753e+14  -4.22747e+14 0.00000e+00 
1.24811e-02 4.29219e+14  -4.29213e+14 0.00000e+00 
1.25127e-02 4.35768e+14  -4.35762e+14 0.00000e+00 
1.25443e-02 4.42399e+14  -4.42393e+14 0.00000e+00 
1.25759e-02 4.49115e+14  -4.49108e+14 0.00000e+00 
1.26075e-02 4.55915e+14  -4.55908e+14 0.00000e+00 
1.26391e-02 4.62800e+14  -4.62794e+14 0.00000e+00 
1.26707e-02 4.69772e+14  -4.69765e+14 0.00000e+00 
1.27023e-02 4.76831e+14  -4.76825e+14 0.00000e+00 
1.27339e-02 4.83979e+14  -4.83972e+14 0.00000e+00 
1.27655e-02 4.91215e+14  -4.91208e+14 0.00000e+00 
1.27971e-02 4.98541e+14  -4.98535e+14 0.00000e+00 
1.28287e-02 5.05959e+14  -5.05952e+14 0.00000e+00 
1.28603e-02 5.13467e+14  -5.13461e+14 0.00000e+00 
1.28919e-02 5.21069e+14  -5.21062e+14 0.00000e+00 
1.29235e-02 5.28764e+14  -5.28757e+14 0.00000e+00 
1.29551e-02 5.36553e+14  -5.36546e+14 0.00000e+00 
1.29867e-02 5.44438e+14  -5.44431e+14 0.00000e+00 
