4.57636e-02 1.75471e+12  -1.75469e+12 0.00000e+00 
4.58990e-02 1.77544e+12  -1.77543e+12 0.00000e+00 
4.60345e-02 1.79635e+12  -1.79634e+12 0.00000e+00 
4.61699e-02 1.81745e+12  -1.81743e+12 0.00000e+00 
4.63053e-02 1.83873e+12  -1.83872e+12 0.00000e+00 
4.64407e-02 1.86020e+12  -1.86018e+12 0.00000e+00 
4.65761e-02 1.88185e+12  -1.88183e+12 0.00000e+00 
4.67116e-02 1.90369e+12  -1.90367e+12 0.00000e+00 
4.68470e-02 1.92571e+12  -1.92570e+12 0.00000e+00 
4.69824e-02 1.94793e+12  -1.94792e+12 0.00000e+00 
4.71178e-02 1.97034e+12  -1.97032e+12 0.00000e+00 
4.72532e-02 1.99294e+12  -1.99292e+12 0.00000e+00 
4.73886e-02 2.01573e+12  -2.01571e+12 0.00000e+00 
4.75240e-02 2.03872e+12  -2.03870e+12 0.00000e+00 
4.76594e-02 2.06190e+12  -2.06188e+12 0.00000e+00 
4.77948e-02 2.08527e+12  -2.08525e+12 0.00000e+00 
4.79302e-02 2.10884e+12  -2.10883e+12 0.00000e+00 
4.80656e-02 2.13262e+12  -2.13260e+12 0.00000e+00 
4.82010e-02 2.15659e+12  -2.15657e+12 0.00000e+00 
4.83364e-02 2.18076e+12  -2.18074e+12 0.00000e+00 
4.84718e-02 2.20513e+12  -2.20511e+12 0.00000e+00 
4.86071e-02 2.22970e+12  -2.22968e+12 0.00000e+00 
4.87425e-02 2.25448e+12  -2.25446e+12 0.00000e+00 
4.88779e-02 2.27946e+12  -2.27944e+12 0.00000e+00 
4.90133e-02 2.30465e+12  -2.30463e+12 0.00000e+00 
4.91487e-02 2.33004e+12  -2.33003e+12 0.00000e+00 
4.92840e-02 2.35565e+12  -2.35563e+12 0.00000e+00 
4.94194e-02 2.38146e+12  -2.38144e+12 0.00000e+00 
4.95548e-02 2.40748e+12  -2.40746e+12 0.00000e+00 
4.96901e-02 2.43371e+12  -2.43370e+12 0.00000e+00 
4.98255e-02 2.46016e+12  -2.46014e+12 0.00000e+00 
4.99609e-02 2.48682e+12  -2.48680e+12 0.00000e+00 
5.00962e-02 2.51369e+12  -2.51367e+12 0.00000e+00 
5.02316e-02 2.54078e+12  -2.54076e+12 0.00000e+00 
5.03669e-02 2.56809e+12  -2.56807e+12 0.00000e+00 
5.05023e-02 2.59561e+12  -2.59559e+12 0.00000e+00 
5.06376e-02 2.62336e+12  -2.62334e+12 0.00000e+00 
5.07730e-02 2.65132e+12  -2.65130e+12 0.00000e+00 
5.09083e-02 2.67951e+12  -2.67949e+12 0.00000e+00 
5.10437e-02 2.70792e+12  -2.70790e+12 0.00000e+00 
5.11790e-02 2.73655e+12  -2.73653e+12 0.00000e+00 
5.13144e-02 2.76540e+12  -2.76539e+12 0.00000e+00 
5.14497e-02 2.79449e+12  -2.79447e+12 0.00000e+00 
5.15850e-02 2.82380e+12  -2.82378e+12 0.00000e+00 
5.17204e-02 2.85334e+12  -2.85332e+12 0.00000e+00 
5.18557e-02 2.88310e+12  -2.88309e+12 0.00000e+00 
5.19910e-02 2.91310e+12  -2.91308e+12 0.00000e+00 
5.21264e-02 2.94333e+12  -2.94332e+12 0.00000e+00 
5.22617e-02 2.97380e+12  -2.97378e+12 0.00000e+00 
5.23970e-02 3.00450e+12  -3.00448e+12 0.00000e+00 
5.25323e-02 3.03543e+12  -3.03541e+12 0.00000e+00 
5.26677e-02 3.06660e+12  -3.06658e+12 0.00000e+00 
5.28030e-02 3.09801e+12  -3.09799e+12 0.00000e+00 
5.29383e-02 3.12966e+12  -3.12964e+12 0.00000e+00 
5.30736e-02 3.16154e+12  -3.16152e+12 0.00000e+00 
5.32089e-02 3.19367e+12  -3.19365e+12 0.00000e+00 
5.33442e-02 3.22604e+12  -3.22602e+12 0.00000e+00 
5.34795e-02 3.25866e+12  -3.25864e+12 0.00000e+00 
5.36148e-02 3.29152e+12  -3.29150e+12 0.00000e+00 
5.37501e-02 3.32462e+12  -3.32460e+12 0.00000e+00 
5.38854e-02 3.35798e+12  -3.35796e+12 0.00000e+00 
5.40207e-02 3.39158e+12  -3.39156e+12 0.00000e+00 
5.41560e-02 3.42543e+12  -3.42541e+12 0.00000e+00 
5.42913e-02 3.45953e+12  -3.45951e+12 0.00000e+00 
5.44266e-02 3.49389e+12  -3.49387e+12 0.00000e+00 
5.45619e-02 3.52850e+12  -3.52848e+12 0.00000e+00 
5.46972e-02 3.56336e+12  -3.56334e+12 0.00000e+00 
5.48325e-02 3.59848e+12  -3.59846e+12 0.00000e+00 
5.49677e-02 3.63386e+12  -3.63383e+12 0.00000e+00 
5.51030e-02 3.66949e+12  -3.66947e+12 0.00000e+00 
5.52383e-02 3.70538e+12  -3.70536e+12 0.00000e+00 
5.53736e-02 3.74154e+12  -3.74152e+12 0.00000e+00 
5.55089e-02 3.77795e+12  -3.77793e+12 0.00000e+00 
5.56441e-02 3.81463e+12  -3.81461e+12 0.00000e+00 
5.57794e-02 3.85158e+12  -3.85156e+12 0.00000e+00 
