9.10018e-03 6.30612e+15  -6.30595e+15 0.00000e+00 
9.13178e-03 6.43777e+15  -6.43760e+15 0.00000e+00 
9.16338e-03 6.57170e+15  -6.57152e+15 0.00000e+00 
9.19497e-03 6.70794e+15  -6.70776e+15 0.00000e+00 
9.22657e-03 6.84651e+15  -6.84634e+15 0.00000e+00 
9.25817e-03 6.98747e+15  -6.98729e+15 0.00000e+00 
9.28977e-03 7.13082e+15  -7.13064e+15 0.00000e+00 
9.32136e-03 7.27662e+15  -7.27643e+15 0.00000e+00 
9.35296e-03 7.42489e+15  -7.42470e+15 0.00000e+00 
9.38456e-03 7.57566e+15  -7.57547e+15 0.00000e+00 
9.41616e-03 7.72896e+15  -7.72877e+15 0.00000e+00 
9.44776e-03 7.88484e+15  -7.88465e+15 0.00000e+00 
9.47935e-03 8.04333e+15  -8.04313e+15 0.00000e+00 
9.51095e-03 8.20445e+15  -8.20425e+15 0.00000e+00 
9.54255e-03 8.36826e+15  -8.36805e+15 0.00000e+00 
9.57415e-03 8.53477e+15  -8.53456e+15 0.00000e+00 
9.60575e-03 8.70403e+15  -8.70382e+15 0.00000e+00 
9.63734e-03 8.87607e+15  -8.87585e+15 0.00000e+00 
9.66894e-03 9.05093e+15  -9.05071e+15 0.00000e+00 
9.70054e-03 9.22864e+15  -9.22842e+15 0.00000e+00 
9.73214e-03 9.40925e+15  -9.40903e+15 0.00000e+00 
9.76373e-03 9.59278e+15  -9.59256e+15 0.00000e+00 
9.79533e-03 9.77929e+15  -9.77906e+15 0.00000e+00 
9.82693e-03 9.96880e+15  -9.96857e+15 0.00000e+00 
9.85853e-03 1.01614e+16  -1.01611e+16 0.00000e+00 
9.89013e-03 1.03570e+16  -1.03568e+16 0.00000e+00 
9.92172e-03 1.05558e+16  -1.05555e+16 0.00000e+00 
9.95332e-03 1.07577e+16  -1.07574e+16 0.00000e+00 
9.98492e-03 1.09628e+16  -1.09626e+16 0.00000e+00 
