1.92625e-02 5.71052e+10  -5.71024e+10 0.00000e+00 
1.93976e-02 5.87288e+10  -5.87259e+10 0.00000e+00 
1.95327e-02 6.03867e+10  -6.03838e+10 0.00000e+00 
1.96678e-02 6.20795e+10  -6.20765e+10 0.00000e+00 
1.98030e-02 6.38076e+10  -6.38046e+10 0.00000e+00 
1.99380e-02 6.55714e+10  -6.55684e+10 0.00000e+00 
2.00731e-02 6.73716e+10  -6.73685e+10 0.00000e+00 
2.02082e-02 6.92085e+10  -6.92054e+10 0.00000e+00 
2.03433e-02 7.10828e+10  -7.10796e+10 0.00000e+00 
2.04783e-02 7.29948e+10  -7.29915e+10 0.00000e+00 
2.06134e-02 7.49450e+10  -7.49418e+10 0.00000e+00 
2.07485e-02 7.69341e+10  -7.69308e+10 0.00000e+00 
2.08835e-02 7.89625e+10  -7.89592e+10 0.00000e+00 
2.10185e-02 8.10307e+10  -8.10273e+10 0.00000e+00 
2.11536e-02 8.31392e+10  -8.31358e+10 0.00000e+00 
2.12886e-02 8.52886e+10  -8.52851e+10 0.00000e+00 
2.14236e-02 8.74793e+10  -8.74758e+10 0.00000e+00 
2.15586e-02 8.97119e+10  -8.97084e+10 0.00000e+00 
2.16936e-02 9.19870e+10  -9.19834e+10 0.00000e+00 
2.18286e-02 9.43050e+10  -9.43014e+10 0.00000e+00 
2.19636e-02 9.66665e+10  -9.66628e+10 0.00000e+00 
2.20986e-02 9.90721e+10  -9.90684e+10 0.00000e+00 
2.22335e-02 1.01522e+11  -1.01518e+11 0.00000e+00 
2.23685e-02 1.04017e+11  -1.04014e+11 0.00000e+00 
2.25034e-02 1.06558e+11  -1.06555e+11 0.00000e+00 
2.26384e-02 1.09146e+11  -1.09142e+11 0.00000e+00 
2.27733e-02 1.11780e+11  -1.11776e+11 0.00000e+00 
2.29083e-02 1.14461e+11  -1.14457e+11 0.00000e+00 
2.30432e-02 1.17190e+11  -1.17186e+11 0.00000e+00 
2.31781e-02 1.19968e+11  -1.19964e+11 0.00000e+00 
2.33130e-02 1.22794e+11  -1.22790e+11 0.00000e+00 
2.34479e-02 1.25671e+11  -1.25667e+11 0.00000e+00 
2.35828e-02 1.28597e+11  -1.28593e+11 0.00000e+00 
2.37177e-02 1.31575e+11  -1.31570e+11 0.00000e+00 
2.38526e-02 1.34603e+11  -1.34599e+11 0.00000e+00 
